,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
00:00.2,0,0,0,0,0,0,0,0,0,20.985,9.286,5.217,15.04,3.785,16.262,8.077,6.813,4.475,5.786,1.292,3.937,1.339,0,0,0,5.786,5.086,24.84,10.471,11.275,1.747,0.713,2.944,4.474,3.011,1.333,3.584,6.65,4.582,3.978,2.38
00:00.2,0,0,0,0,0,0,0,0,0,18.824,6.902,4.683,5.12,5.044,11.879,7.933,7.071,4.634,2.418,1.951,3.269,1.485,0,0,0,2.418,3.617,25.56,11.516,14.778,2.058,0.853,1.979,5.431,2.686,1.328,4.619,7.756,4.08,4.142,3.223
00:00.2,0,0,0,0,0,0,0,0,0,19.323,9.409,6.318,5.56,5.276,9.918,8.781,7.061,5.989,4.15,4.248,3.013,4.04,0,0,0,4.15,4.726,26.32,14.328,11.116,3.258,1.162,2.379,6.026,4.041,1.557,4.66,9.154,4.63,2.87,5.22
00:00.2,0,0,0,0,0,0,0,0,0,19.71,9.916,5.567,5.48,5.638,8.924,8.404,5.766,6.991,11.624,1.457,1.311,3.209,0,0,0,11.624,4.856,26.98,13.581,11.116,3.311,1.444,2.338,5.464,4.83,1.445,4.487,7.757,4.145,3.045,4.658
00:00.2,0,0,0,0,0,0,0,0,0,19.754,7.863,5.909,6.12,8.935,7.87,8.626,4.677,6.988,7.363,1.479,1.047,1.388,0,0,0,7.363,2.622,26.52,14.148,10.566,3.048,1.153,2.396,5.429,6.563,1.517,4.577,6.574,4.487,3.7,2.865
00:00.2,0,0,0,0,0,0,0,0,0,18.813,7.116,4.633,5.36,7.14,8.343,9.403,8.492,6.239,3.322,1.584,1.631,1.211,0,0,0,3.322,4.849,26.78,14.544,9.609,2.5,1.139,2.53,5.583,5.19,1.543,4.619,6.003,4.08,3.125,2.694
00:00.2,0,0,0,0,0,0,0,0,0,19.052,6.71,4.86,5.56,5.437,8.256,9.549,6.609,4.88,5.123,1.5,0.648,0.97,0,0,0,5.123,2.282,26.58,14.474,10.461,2.145,1.144,2.294,5.958,5.598,1.516,3.174,4.877,3.846,3.046,2.16
00:00.2,0,0,0,0,0,0,0,0,0,19.181,7.157,4.311,5.76,3.965,8.205,9.424,5.355,4.158,3.728,1.448,0.501,1.02,0,0,0,3.728,2.223,26.56,14.107,9.23,1.848,1.125,2.3,5.29,2.839,1.658,3.854,6.712,3.811,2.815,2.017
00:00.2,0,0,0,0,0,0,0,0,0,19.583,7.92,4.216,6.16,3.917,8.021,8.836,4.772,5.509,1.242,1.637,0.41,0.802,0,0,0,1.242,1.789,27.56,13.199,8.21,1.733,1.046,2.125,5.36,3.12,1.458,3.514,4.042,3.28,3.026,2.357
00:00.2,0,0,0,0,0,0,0,0,0,18.823,6.731,4.701,5.32,3.281,7.988,8.309,4.957,3.671,1.58,1.739,0.342,0.648,0,0,0,1.58,2.685,26.64,12.744,8.168,1.816,0.772,1.623,5.106,2.651,1.226,2.11,4.053,3.624,2.998,1.831
