,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
00:00.2,0,0,0,0,0,0,0,0,0,1.680880005,8.161679688,2.358560059,4.52359668,2.674659668,6.523671875,0.960200012,2.602899902,3.012899902,2.054799805,1.916719971,10.03094922,6.009178223,0,0,0,14.5778584,5.064839844,1.404600098,13.30862109,4.235380371,1.278,1.498000122,0.69,13.23313965,10.67561426,20.24040625,15.70925,9.742269531,14.7500293,1.030199951,0.554099976
00:00.2,0,0,0,0,0,0,0,0,0,1.681379883,8.153999512,2.358100098,4.532963867,2.672352783,6.521322266,0.961699951,2.603400146,3.018900146,2.0485,1.842539917,9.998463867,6.003523926,0,0,0,14.5692998,5.070510254,1.401200073,13.30683008,4.245410156,1.269900024,1.499199951,0.688199951,13.2252002,10.63571191,20.21776953,15.71165527,9.736120117,14.73995801,1.021500061,0.553719971
00:00.2,0,0,0,0,0,0,0,0,0,1.681119995,8.158459473,2.358879883,4.512310547,2.677618164,6.523323242,0.961600037,2.604199951,3.016600098,2.053900146,1.845199829,9.972013672,5.93473584,0,0,0,14.5665791,5.062160156,1.405300049,13.30824023,4.261429688,1.259099976,1.498799927,0.688699951,13.24941992,10.64244824,20.20526172,15.71008203,9.747202148,14.75494141,1.014899963,0.554200012
00:00.2,0,0,0,0,0,0,0,0,0,1.681439941,8.151119141,2.359820068,4.537807617,2.678455078,6.524253906,0.9595,2.604600098,3.014,2.058100098,1.847600098,9.982660156,5.930155762,0,0,0,14.54186035,5.017550781,1.403199951,13.30365039,4.26552002,1.260700073,1.497700073,0.689799988,13.21987988,10.63044531,20.25219531,15.70652832,9.759039063,14.76958008,1.017599915,0.554210022
00:00.2,0,0,0,0,0,0,0,0,0,1.681029907,8.138399902,2.358139893,4.550579102,2.671595703,6.525320313,0.962200012,2.603999756,3.018899902,2.052300049,1.847119995,10.0247959,5.931793945,0,0,0,14.53923926,5.060290527,1.4085,13.31171094,4.254430176,1.260900146,1.497699951,0.689599915,13.27057031,10.66363672,20.3220918,15.6940459,9.75293457,14.75745117,1.026699951,0.55426001
00:00.2,0,0,0,0,0,0,0,0,0,1.680850098,8.140920898,2.358180176,4.615742676,2.674981445,6.522744141,0.958599976,2.603599854,3.019800049,2.046400024,1.843159912,10.0043877,5.93214209,0,0,0,14.53656055,5.080800293,1.403599976,13.30952051,5.216299805,1.260799927,1.498,0.688300049,13.21744043,10.64536816,20.29133594,15.65324414,9.734479492,14.69741211,1.024599976,0.554589966
00:00.2,0,0,0,0,0,0,0,0,0,1.682670044,8.170119629,2.356680176,4.677589355,2.851584229,6.531320313,0.961599976,2.604800049,3.016099854,2.051399902,1.846779907,9.996009766,5.939069824,0,0,0,14.53515918,5.075319336,1.404599976,13.31690137,4.422730469,1.265099976,1.497100098,0.687899963,13.22237012,10.64973047,20.26768164,15.67538184,9.726021484,14.69221875,1.017200012,0.553660034
00:00.2,0,0,0,0,0,0,0,0,0,1.681659912,8.19255957,2.355780029,4.677793457,3.189720947,6.526977539,0.960699951,2.605600098,3.010699951,2.051899902,1.846139771,9.993628906,5.93512207,0,0,0,14.65678027,5.130620117,1.404,13.30108984,4.357279785,1.278799927,1.497100098,0.688200012,13.26437988,10.63507617,20.28876172,15.68872656,9.745533203,14.67666992,1.0195,0.553580017
00:00.2,0,0,0,0,0,0,0,0,0,1.678630005,8.156740234,2.358159912,4.648894043,3.179501221,6.531769531,0.9625,2.604900146,3.010399902,2.049200195,1.846189941,10.00056641,5.937779785,0,0,0,14.66428711,5.117040039,1.401599976,13.30361035,4.363,1.2745,1.495699951,0.689199951,13.79691895,10.64164453,20.28394727,15.69015234,9.749447266,14.68760059,1.020700012,0.553720032
00:00.2,0,0,0,0,0,0,0,0,0,1.673840088,8.142779297,2.358439941,4.639716309,3.172419678,6.53486377,0.984900024,2.604800049,3.016500244,2.048699951,1.843049927,10.00314648,5.932140137,0,0,0,14.66040039,5.129699707,1.360699951,13.31295996,4.358260254,1.262900024,1.496299927,0.689100037,14.17441016,10.65536133,20.27225,15.68581543,9.746986328,14.6745332,1.027300049,0.553890015
